ID,EASTING,NORTHING
PPM002,516179.307062831,5656014.03739418
PPM002,516127.459370594,5655981.88129218
PPM002,516121.108080956,5656222.49958116
PPM002,516119.65541275,5656225.36415418
PPM002,516118.155667814,5656243.3080835
PPM002,516037.475685382,5656356.09749841
PPM002,515951.662849322,5656854.23386992
PPM002,515942.118873026,5656826.92558704
PPM002,516126.90811536,5657053.38103593
PPM002,516160.365997895,5657096.44453308
PPM002,516118.686128028,5657074.37327064
PPM002,516496.076585515,5656319.13202905
PPM002,516451.192297493,5656318.03243436
PPM002,516437.607054519,5656292.64535453
PPM002,516450.822705991,5656288.86196945
PPM002,516421.154992739,5656269.55115302
PPM002,516465.951656475,5656520.17386815
PPM002,516438.647403359,5656474.33675977
PPM002,516557.534091765,5656480.13243181
PPM002,516458.328976243,5656532.73806331
PPM002,516818.310221935,5656619.80488361
PPM002,516786.40227385,5656652.51789085
PPM002,516825.289303819,5656645.82757107
PPM002,516311.86558932,5656101.5508433
PPM002,516101.148713316,5656388.63433822
PPM002,516034.265057133,5656340.58543929
PPM002,515947.958465653,5656354.36339126
PPM002,515983.389118571,5656355.25140514
PPM002,515998.424438267,5656406.37479424
PPM002,515955.661876855,5656372.04667173
PPM002,515900.892675508,5656376.7262591
PPM002,515931.768562785,5656395.55962567
PPM002,516423.936414055,5657071.54346368
PPM002,515648.331471571,5656575.96921206
PPM002,515685.34618655,5656597.03271993
PPM002,515806.294082208,5656661.3449824
PPM002,515801.528344293,5656517.26327833
PPM002,515802.946117802,5656653.90618365
PPM002,515849.793549514,5656626.38180804
PPM002,515908.430093354,5656905.36634663
PPM002,515945.564390148,5656823.09962771
PPM002,515879.329925398,5656761.29852569
PPM002,515826.063927455,5656727.32836673
PPM002,515862.072516051,5656737.71431127
PPM002,515889.693491021,5656645.43170263
PPM002,515925.976228446,5656726.10101826
PPM002,515911.666670093,5656646.48911874
PPM002,515913.31014589,5656645.30428263
PPM002,515909.700541559,5656629.57977403
PPM002,515876.046531319,5656630.3880482
PPM002,515851.805899693,5656582.66186366
PPM002,515879.075015097,5656593.57711894
PPM002,515865.937845454,5656645.18070369
PPM002,515774.23357647,5656698.02267333
PPM002,515773.426588599,5656661.68926851
PPM002,515849.096746888,5656675.29910678
PPM002,515875.334069318,5656675.20180193
PPM002,515881.762527483,5656656.21650134
PPM002,515861.947131992,5656705.54207966
PPM002,515874.012146436,5656729.06583918
PPM002,515886.602353831,5656732.1849739
PPM002,516216.107068241,5657092.32681449
PPM002,516250.20695442,5657151.4955397
PPM002,515869.054312065,5656727.89405443
PPM002,515821.595743892,5656701.29250682
PPM002,515852.912235254,5656708.46127887
PPM002,515851.386578501,5656716.93047758
PPM002,515847.28254814,5656711.55775559
PPM002,515581.88434121,5656784.36803822
PPM002,515865.943293438,5656910.15087317
PPM002,515893.740537826,5657001.5808964
PPM002,516022.755535976,5657185.56962554
PPM002,516015.3177687,5657186.62523783
PPM002,515997.727280319,5657169.4338508
PPM002,516032.133975868,5657166.56029491
PPM002,515959.351947967,5655903.77071103
PPM002,516387.85743364,5656479.62436271
PPM002,516421.660689713,5656549.00190986
PPM002,516563.879263187,5656459.56858177
PPM002,516429.167229765,5656491.42116066
PPM002,516849.413746537,5656758.51339082
PPM002,516779.799443694,5656827.5901681
PPM002,515912.656316658,5656955.13288033
PPM002,515902.111802882,5656934.14919675
PPM002,515917.23332208,5656947.92973173
PPM002,515914.0919915,5656955.40420073
PPM002,515900.738546068,5656947.73432353
PPM002,515913.237567042,5656952.97727836
PPM002,515907.962174064,5656979.88395937
PPM002,515907.508262322,5656977.10241346
PPM002,515865.912583213,5657029.56364433
PPM002,513801.681482718,5654374.83974881
PPM002,513803.519254224,5654387.61101798
PPM002,513783.966047469,5654434.89886838
PPM002,513830.264906458,5654489.99136473
PPM002,513793.367817844,5654390.14162212
PPM002,513786.462118919,5654348.12097884
PPM002,513806.712368674,5654410.027403
PPM002,514245.990705157,5653147.90736344
PPM002,514242.810322994,5653133.98684609
PPM002,514266.34827781,5653221.49230459
PPM002,514296.698954059,5653178.07276276
PPM002,514482.141879702,5653231.40041227
PPM002,514445.226154035,5653299.98847135
PPM002,514854.343380421,5654234.97183727
PPM002,515043.056234416,5653436.71951511
PPM002,515066.595866064,5653441.56991948
PPM002,515067.779319909,5653403.64128475
PPM002,514610.027815478,5653347.76955498
PPM002,514614.968126048,5653326.63231219
PPM002,517623.353713149,5654599.94543612
PPM002,517841.794236335,5654744.76231997
PPM002,519953.402427315,5655598.58819719
PPM002,519954.31347531,5655593.18709935
PPM002,520093.580063374,5655699.62877526
PPM002,522862.374977268,5654985.86775353
PPM002,522861.987463632,5654940.38259743
PPM002,522900.342206013,5654792.90371668
PPM002,522969.550985865,5654675.7770343
PPM002,522868.119190321,5654385.06719424
PPM002,522869.730251644,5654393.31471758
PPM002,522869.787390977,5654386.74267474
PPM002,522866.418173507,5654444.65515408
PPM002,522868.499251871,5654454.41716515
PPM002,522899.238864479,5654426.62942131
PPM002,522731.560852211,5654485.20630468
PPM002,522635.545254075,5653940.11850092
PPM002,522728.667948896,5653965.11503342
PPM002,522675.150881634,5653943.91749658
PPM002,522652.916980481,5654071.90733175
PPM002,523122.911680457,5653936.99443673
PPM002,522888.951240215,5653973.06217652
PPM002,522922.856309488,5654269.14363713
PPM002,522949.199926695,5654259.02961401
PPM002,523025.313255599,5654417.78177789
PPM002,523025.324457798,5654415.26856345
PPM002,523127.818558053,5654396.14298169
PPM002,523132.241539273,5654394.78382649
PPM002,519981.374505769,5654859.88765544
PPM002,520004.514532247,5654845.63165097
PPM002,519966.861456248,5654892.99316434
PPM002,519952.416968713,5654935.618215
PPM002,519995.882924539,5654911.32098522
PPM002,520012.442639511,5654925.37484102
PPM002,519940.849425344,5654955.79079654
PPM002,519938.241357284,5655032.13478947
PPM002,519937.352134099,5655039.12621659
PPM002,519905.411490315,5654976.23833104
PPM002,519904.694398015,5654994.96266219
PPM002,519920.535017984,5655024.60453989
PPM002,519917.303578677,5655010.01296613
PPM002,519844.213022342,5654937.98149566
PPM002,519907.904183453,5654980.62945601
PPM002,519559.580668262,5654489.68107944
PPM002,518508.794721994,5654203.89150205
PPM002,518532.729294255,5654194.52482394
PPM002,518494.070631846,5654147.29067153
PPM002,518500.401721996,5654151.21665966
PPM002,518166.760771276,5654134.87531074
PPM002,518184.338634973,5654082.88178796
PPM002,518234.154886736,5653991.22375149
PPM002,518193.760392778,5654121.11410015
PPM002,518106.131939822,5654303.69506899
PPM002,518096.341599051,5654288.53679255
PPM002,518184.77447579,5654287.71303308
PPM002,518185.316537861,5654281.10932382
PPM002,518156.750495072,5654315.90518595
PPM002,518197.802772764,5654372.77566069
PPM002,518265.528527529,5654398.43631028
PPM002,518437.912639647,5654498.38880549
PPM002,520808.545033858,5652901.25831479
PPM002,520876.301503087,5653927.68392181
PPM002,520991.993192019,5654332.88704043
PPM002,520734.386072089,5653977.04391439
PPM002,520725.581003184,5653966.2216061
PPM002,520831.464793953,5654598.28660452
PPM002,520539.288036909,5654822.59797987
PPM002,521167.079622746,5653954.52227432
PPM003,528118.489004402,5653313.12954822
PPM003,528136.867233132,5653247.72860761
PPM003,528011.756438882,5653313.55074634
PPM003,528007.052746995,5652952.21358342
PPM003,527959.860151633,5652899.46835443
PPM003,528128.189270623,5652896.60070454
PPM003,528109.190036362,5653063.0854697
PPM003,528003.418339452,5653131.1259876
PPM003,528343.973900785,5653332.71058459
PPM003,528275.407757835,5653163.18893934
PPM003,528262.570017865,5653164.00837112
PPM003,527972.444577006,5653178.77726656
PPM003,528101.517692426,5653171.4706223
PPM003,528082.722573325,5652978.09061168
PPM003,528009.848648558,5652979.80807407
PPM003,528005.173757231,5652949.53443308
PPM003,527995.370660455,5652933.80113415
PPM003,527890.309199223,5653350.81545071
PPM003,527902.038259356,5653347.43134992
PPM003,528465.621986036,5653577.92385264
PPM003,528432.209323493,5653507.79056744
PPM003,528713.852243858,5653779.80401949
PPM003,528708.46097168,5653791.00599705
PPM003,529187.960957378,5654158.34163721
PPM003,529692.75785915,5654064.69016683
PPM003,529970.196672268,5654041.71528028
PPM003,529948.313327714,5654067.1661253
PPM003,529679.606985009,5653986.10208873
PPM003,529426.712909244,5653872.66957718
PPM003,529502.286940858,5654071.38349778
PPM003,529511.271137145,5654081.99952228
PPM003,529472.938910216,5654090.67730012
PPM003,529471.96274099,5654102.01489572
PPM003,529380.371095733,5654056.56538656
PPM003,529404.255061483,5654048.69432897
PPM003,529407.989173056,5654217.9733793
PPM003,529595.26493406,5654143.86655205
PPM003,529571.007776664,5653506.39765334
PPM003,529396.990119331,5653612.60864066
PPM003,529244.49702052,5653819.58991171
PPM003,529479.923861053,5653935.58271639
PPM003,529397.524679685,5653937.67098105
PPM003,529363.844574792,5653892.55164541
PPM003,529271.736753357,5653900.25833148
PPM003,529155.583564106,5653907.16366622
PPM003,529156.133508221,5653697.87448086
PPM003,528866.232311653,5653714.9295784
PPM003,529694.748774941,5653584.06282765
PPM003,529364.231923072,5653849.07174041
PPM003,529288.723139265,5653810.49900519
PPM003,529109.180277151,5653979.29803018
PPM003,529053.01241171,5654030.02606566
PPM003,529146.498021052,5654013.76030519
PPM003,529500.047778235,5654070.59225905
PPM003,529454.935802499,5654149.29218359
PPM003,529332.326293132,5654158.15842557
PPM003,529176.200798224,5653707.9964191
PPM003,529168.640840475,5653693.27436345
PPM003,529594.571973143,5653922.11481115
PPM003,529980.371243365,5654052.45024175
PPM003,529704.912115338,5654036.06849234
PPM003,529505.481006734,5654076.85090586
PPM003,529892.560041711,5654396.3513627
PPM003,530916.487459989,5655129.34405927
PPM003,530729.952475274,5655034.48249945
PPM003,530752.01177655,5655073.6477803
PPM003,530720.611223681,5653068.27400607
PPM003,529648.802093932,5653990.26230958
PPM003,529296.211957954,5653775.84475167
PPM003,529182.629640839,5653947.79585681
PPM003,529512.113123477,5654081.8931245
PPM003,529458.140469122,5654103.71538229
PPM003,529457.280733611,5654106.93549743
PPM003,529452.050087726,5653954.44022217
PPM003,529322.807644223,5653895.76601011
PPM003,528993.0830538,5653851.64640106
PPM003,528751.508257129,5653716.40285553
PPM003,529116.208911536,5654026.04474677
PPM003,529086.967277794,5654014.20325522
PPM003,528983.807390909,5653992.71650617
PPM003,528985.090205679,5654064.00763658
PPM003,528961.212170321,5654133.48955434
PPM003,529020.174819249,5654171.51974188
PPM003,529124.501120837,5654097.37544095
PPM003,529007.871520402,5654214.93274476
PPM003,528830.312722386,5654107.73574697
PPM003,528894.81233168,5654146.35143002
PPM003,529231.834696007,5654087.08331169
PPM003,528898.740452271,5654146.03977955
PPM003,528830.46350931,5654093.27963078
PPM003,528833.688038665,5654105.97526614
PPM003,528874.559859975,5654094.3043506
PPM003,528801.802977552,5654077.77315454
PPM003,528884.735770879,5654067.56025711
PPM003,528804.058361191,5654075.67278885
PPM003,528779.29688,5654014.70437516
PPM003,528734.224882631,5654037.69583283
PPM003,528711.683229478,5653955.61071167
PPM003,528732.088481564,5654031.01151093
PPM003,528703.714298067,5653951.22934697
PPM003,528732.502585798,5654044.80352365
PPM003,528731.563674991,5654037.12499578
PPM003,528733.145354224,5654042.694159
PPM003,528735.517447219,5654044.82029156
PPM003,528737.891955309,5653970.88062327
PPM003,528762.699018086,5654099.35194144
PPM003,528720.082462327,5653945.64873661
PPM003,528779.927281734,5654014.81909417
PPM003,528746.687964478,5653977.82441177
PPM003,528756.749542521,5653971.54158722
PPM003,528743.026162086,5653955.45136593
PPM003,528741.258048808,5653970.7881405
PPM003,528735.091722392,5653970.08659681
PPM003,528739.535721339,5653977.89582835
PPM003,528738.603208263,5653981.67169028
PPM003,528688.42011288,5653952.81250908
PPM003,528713.436548885,5653892.4547019
PPM003,528657.78345062,5653939.40881241
PPM003,528696.686766266,5653903.59357999
PPM003,528727.424146708,5654050.22444212
PPM003,528656.965301041,5653909.93433935
PPM003,528635.303905205,5653820.51478595
PPM003,528666.672504253,5653841.15087463
PPM003,528645.875297807,5653785.54309326
PPM003,528705.01135671,5653806.11102229
PPM003,528665.411011729,5654017.96348959
PPM003,528743.986078397,5654034.96994821
PPM003,528853.55295336,5653951.28553014
PPM003,528833.262632523,5653930.93251838
PPM003,528746.972751619,5653977.04754505
PPM003,528493.973716459,5653967.97271582
PPM003,528409.208427443,5653992.5275517
PPM003,528768.861195954,5654075.58787907
PPM003,528881.691179461,5653947.43928632
PPM003,528884.437728788,5653920.20884034
PPM003,528877.785285471,5653943.74761069
PPM003,528842.950751689,5653966.46173687
PPM003,528793.350261233,5654059.59923947
PPM003,529006.563270701,5654048.33670341
PPM003,529072.552139125,5654046.48347205
PPM003,529664.282609513,5654115.01480739
PPM003,530578.515001315,5652916.74507687
PPM003,529998.414621514,5652163.69677245
PPM003,529268.261370263,5652297.51931758
PPM003,529387.709705315,5652186.21140664
PPM003,529361.859148242,5652254.79053051
PPM003,528442.359513705,5652568.03517236
PPM003,528622.641526512,5652321.14986369
PPM003,528084.10820313,5652981.21193789
PPM003,528082.794513617,5652977.75738151
PPM003,528049.599945895,5652969.12538054
PPM003,528006.487418119,5653160.05644963
PPM003,527896.870691104,5653356.41122164
PPM003,528593.128437635,5653826.73123298
PPM003,528338.268061599,5653618.70411139
PPM003,528269.431913174,5653601.75717613
PPM003,528316.056681331,5653781.94571445
PPM003,528392.671537815,5653735.43671446
PPM003,528690.391166611,5653736.74768075
PPM003,528649.777131817,5653878.53401721
PPM003,528339.805655991,5653696.33516554
PPM003,528178.757294267,5653487.49697917
PPM003,528107.335069227,5653533.03652751
PPM003,528209.422756401,5653470.64960623
PPM003,528156.94780221,5653809.43401684
PPM003,528257.981831328,5653605.47558855
PPM003,528269.484386697,5653656.24897897
PPM003,528278.061946806,5653652.07004239
PPM003,528261.886598375,5653609.5004027
PPM003,528252.084951605,5653593.87779749
PPM003,527896.623451271,5653324.27104855
PPM003,528273.373968823,5653560.52088569
PPM003,528318.233867007,5653295.09266171
PPM003,528132.693259232,5653061.21163264
PPM003,528091.161537086,5653089.89954716
PPM003,528089.301308979,5653019.27296509
PPM003,528131.337879618,5652885.05231164
PPM003,528149.677167655,5653058.85755976
PPM003,528075.778479704,5653068.68661495
PPM003,528133.794092992,5653065.10987209
PPM003,528178.438130122,5652941.57965545
PPM003,528297.915050637,5653035.75760474
PPM003,528024.665550179,5653027.92983139
PPM003,528034.506982751,5653036.54614878
PPM003,528001.537323,5653012.34669058
PPM003,528004.067377754,5652946.63705582
PPM003,527966.000323107,5652983.01803095
PPM003,527998.966958556,5652956.06201689
PPM003,527973.652334139,5652968.60253298
PPM003,527971.405240856,5652969.14640561
PPM003,528032.262900092,5652984.82271072
PPM003,528002.1277263,5653032.81198091
PPM003,528063.558996443,5653071.84524939
PPM003,528107.257719798,5653147.59232023
PPM003,528461.975840903,5653526.97087015
PPM003,528661.442166246,5653911.84969677
PPM003,528903.314597615,5654218.23896797
PPM003,528243.397706049,5653938.79502063
PPM003,528156.17882862,5653860.47392588
PPM003,528168.206533893,5653905.02236563
PPM003,528350.183092028,5653530.24855568
PPM003,528344.382650337,5653526.658105
PPM003,528376.495337281,5653718.77797463
PPM003,527124.899390266,5652215.32294216
PPM003,527698.631532655,5651130.6522826
PPM003,527860.027245103,5650159.35137323
PPM003,529217.233667594,5648851.15331709
PPM003,530298.755529178,5648954.34477572
PPM003,529560.452440515,5650568.80024604
PPM003,529773.361516567,5650745.39485273
PPM003,529663.127494988,5650527.35187348
PPM003,529687.130644043,5650562.7421846
PPM003,529672.812879157,5650526.85139481
PPM003,529177.436943096,5651662.68075091
PPM003,529025.239398715,5651721.09742387
PPM003,528151.119550784,5652188.7820203
PPM003,528035.46809687,5653027.43238636
PPM003,528025.389043356,5653153.1528757
PPM003,528077.578108573,5653240.84491437
PPM003,528700.490202496,5653723.79251676
PPM003,528570.55425749,5653927.47135458
PPM003,528513.395230838,5654641.32909856
PPM003,528661.700718666,5654358.12618354
PPM003,529059.912853245,5654012.38289833
PPM003,529041.667188734,5654027.62692328
PPM003,529115.752966069,5653957.64962344
PPM003,531647.784573269,5652805.19075579
PPM003,531271.175862926,5653198.68652098
PPM003,531025.779216155,5653377.47504835
PPM003,530978.979199354,5653463.82506077
PPM003,530828.209432122,5653476.26829087
PPM003,530848.569050588,5653472.27511284
PPM003,530343.105118613,5654155.32207677
PPM003,530330.331742964,5654157.47122289
PPM003,529372.631787365,5653876.25410067
PPM003,529293.065356723,5653935.07593149
PPM003,529075.482104351,5653837.31886412
PPM003,528975.126289096,5653752.79354585
PPM003,528655.606731266,5653408.93811713
PPM003,528691.511768876,5653396.01489954
PPM003,528349.39409284,5653073.29411379
PPM003,528095.53955097,5653161.76310345
PPM003,528260.630666556,5653441.68193593
PPM003,528388.418068268,5653743.86509133
PPM003,528216.106330139,5653723.45997027
PPM003,528245.541561422,5653572.26783496
PPM003,528316.546849773,5653538.96069154
PPM003,528600.268119895,5653651.61931724
PPM003,528580.030970566,5653646.61422235
PPM003,528336.650449934,5653619.5848975
PPM003,528237.151417802,5653798.75100072
PPM003,528258.855887287,5654599.33960582
PPM003,528104.35718152,5654608.83897206
PPM003,527858.301048262,5654617.95955862
PPM003,527954.084012588,5654692.65229107
PPM003,529010.745774427,5654239.97055517
PPM003,528992.842229599,5654219.40788035
PPM003,529045.990140798,5654256.40488151
PPM003,528970.033085579,5654160.89603191
PPM003,528968.684010766,5654101.39250831
PPM003,528961.898158325,5654048.6421606
PPM003,529038.685443842,5654021.71617102
PPM003,528204.024138223,5652133.91176645
PPM003,528120.617792169,5651477.78191624
PPM003,528899.625319982,5651366.31087148
PPM003,529517.778972692,5651554.62880016
PPM003,531756.973973604,5653479.66862405
PPM003,533682.699424073,5655234.38776593
PPM003,532885.251530652,5655540.96559228
PPM003,532091.055205497,5655463.90601134
PPM003,527693.389748061,5653810.59841981
PPM003,527430.500923384,5653721.12006836
PPM003,527926.200155934,5653690.52453363
PPM003,527988.502490177,5653670.95556344
PPM003,527995.988255293,5653674.10991742
PPM003,528028.385522742,5653647.92946498
PPM003,528316.536412101,5653515.27350788
PPM003,528343.563915519,5653918.77022098
PPM003,528058.153026361,5653847.81907395
PPM003,527822.587630085,5653842.20810693
